episode,reward,best_so_far,wall_hits,grad_norm
1,-2868.0,-2868.0,0,0.772183358669281
2,-832.0,-832.0,0,1.0303378105163574
3,-1348.0,-832.0,0,0.46307072043418884
4,-2295.0,-832.0,0,0.6047166585922241
5,-12564.0,-832.0,40,0.1814253330230713
6,-2197.0,-832.0,0,0.5226753950119019
7,-3150.0,-832.0,0,0.5796672105789185
8,-6279.0,-832.0,17,0.6355563402175903
9,-721.0,-721.0,0,0.26009106636047363
10,-15215.0,-721.0,48,0.35120946168899536
11,-2538.0,-721.0,0,0.5644960403442383
12,-11432.0,-721.0,45,0.3591320216655731
13,-1078.0,-721.0,0,0.31398308277130127
14,-5086.0,-721.0,8,0.42224860191345215
15,-883.0,-721.0,0,0.24273496866226196
16,-4083.0,-721.0,3,0.41893377900123596
17,-3092.0,-721.0,0,0.6308648586273193
18,-1547.0,-721.0,0,0.4376390278339386
19,-2230.0,-721.0,0,0.2881881594657898
20,-2308.0,-721.0,0,0.42555171251296997
21,-1674.0,-721.0,0,0.13581031560897827
22,-2003.0,-721.0,0,0.18796978890895844
23,-1568.0,-721.0,0,0.17613917589187622
24,-2748.0,-721.0,0,0.5412966012954712
25,-5623.0,-721.0,15,0.2682912051677704
26,-1362.0,-721.0,0,0.5700060129165649
27,-8987.0,-721.0,24,0.19808851182460785
28,-15540.0,-721.0,60,0.3073018491268158
29,-4962.0,-721.0,10,0.18285106122493744
30,-2644.0,-721.0,0,0.4133749008178711
31,-2668.0,-721.0,0,0.2794680595397949
32,-2811.0,-721.0,0,0.23584744334220886
33,-1222.0,-721.0,0,0.07955551892518997
34,-15604.0,-721.0,52,0.14027273654937744
35,-13683.0,-721.0,53,0.4261589050292969
36,-2832.0,-721.0,0,0.38327375054359436
37,-390.0,-390.0,0,0.6474100351333618
38,-4457.0,-390.0,9,0.1826615333557129
39,-3352.0,-390.0,0,0.20592094957828522
40,-1959.0,-390.0,0,0.4427933096885681
41,-11857.0,-390.0,24,0.272391676902771
42,-2064.0,-390.0,0,0.22633226215839386
43,-9567.0,-390.0,41,0.32264381647109985
44,-3254.0,-390.0,8,0.13234323263168335
45,-2966.0,-390.0,0,0.6711314916610718
46,-658.0,-390.0,0,0.42023980617523193
47,-2612.0,-390.0,0,0.23060330748558044
48,-1873.0,-390.0,0,0.2415698915719986
49,-1369.0,-390.0,0,0.15847492218017578
50,-392.0,-390.0,0,0.20798608660697937
51,-2782.0,-390.0,0,0.39022305607795715
52,-10803.0,-390.0,39,0.2641366422176361
53,-2522.0,-390.0,0,0.3583264648914337
54,-8037.0,-390.0,30,0.30466318130493164
55,-790.0,-390.0,0,0.1954042911529541
56,-1506.0,-390.0,0,0.4778810739517212
57,-1344.0,-390.0,0,0.4302518665790558
58,-3154.0,-390.0,0,0.595053493976593
59,-6069.0,-390.0,22,0.10401131957769394
60,-2160.0,-390.0,0,0.08143509924411774
61,-869.0,-390.0,0,0.17433445155620575
62,-7536.0,-390.0,23,0.34677210450172424
63,-1598.0,-390.0,0,0.1781061291694641
64,-2486.0,-390.0,0,0.4387960135936737
65,-1235.0,-390.0,0,0.13375461101531982
66,-2894.0,-390.0,0,0.2810248136520386
67,-4756.0,-390.0,6,0.18129274249076843
68,-5055.0,-390.0,12,0.29908591508865356
69,-203.0,-203.0,0,0.5256924033164978
70,-8878.0,-203.0,29,0.23411883413791656
71,-1026.0,-203.0,0,0.2649194598197937
72,-21549.0,-203.0,88,0.2292601317167282
73,-2162.0,-203.0,0,0.34292927384376526
74,-11458.0,-203.0,49,0.3672807216644287
75,-2142.0,-203.0,0,0.18014629185199738
76,-2742.0,-203.0,0,0.28420695662498474
77,-8364.0,-203.0,20,0.20259305834770203
78,-6637.0,-203.0,12,0.22939518094062805
79,-345.0,-203.0,0,0.07259830832481384
80,-980.0,-203.0,0,0.34811931848526
81,-2186.0,-203.0,0,0.44355934858322144
82,-10812.0,-203.0,41,0.30867573618888855
83,-2604.0,-203.0,0,0.2707098126411438
84,-2162.0,-203.0,0,0.25417521595954895
85,-5139.0,-203.0,17,0.09100151062011719
86,-2385.0,-203.0,0,0.217466801404953
87,-427.0,-203.0,0,0.29481789469718933
88,-2248.0,-203.0,0,0.17130351066589355
89,-8091.0,-203.0,30,0.21391542255878448
90,-883.0,-203.0,0,0.4517173767089844
91,-1130.0,-203.0,0,0.5482670068740845
92,-25225.0,-203.0,109,0.6001952886581421
93,-574.0,-203.0,0,0.33322766423225403
94,-1157.0,-203.0,0,0.2563043534755707
95,-3384.0,-203.0,0,0.3066194951534271
96,-802.0,-203.0,0,0.1808021068572998
97,-6987.0,-203.0,18,0.17591160535812378
98,-2373.0,-203.0,0,0.58096843957901
99,-9992.0,-203.0,28,0.14357846975326538
100,-2077.0,-203.0,0,0.3497481644153595
101,-24672.0,-203.0,108,0.2558552622795105
102,-1158.0,-203.0,0,0.12903201580047607
103,-72.0,-72.0,0,0.6949495673179626
104,-3164.0,-72.0,0,0.4803587794303894
105,-3068.0,-72.0,0,0.25513899326324463
106,-21311.0,-72.0,89,0.3503519594669342
107,-2982.0,-72.0,0,0.2632875144481659
108,-1472.0,-72.0,0,0.257763147354126
109,-2714.0,-72.0,0,0.22160036861896515
110,-1945.0,-72.0,0,0.19077996909618378
111,-23048.0,-72.0,86,0.3074740767478943
112,-1301.0,-72.0,0,0.2549423277378082
113,-1630.0,-72.0,0,0.22181756794452667
114,-3208.0,-72.0,0,0.34105920791625977
115,-7183.0,-72.0,19,0.20244991779327393
116,-2568.0,-72.0,0,0.2985195815563202
117,-10338.0,-72.0,34,0.17913100123405457
118,-2554.0,-72.0,0,0.23876450955867767
119,-5751.0,-72.0,11,0.1237046867609024
