episode,reward,best_so_far
1,-10475.0,-10475.0
2,-1753.0,-1753.0
3,-22062.0,-1753.0
4,-2810.0,-1753.0
5,-12601.0,-1753.0
6,-2920.0,-1753.0
7,-2888.0,-1753.0
8,-2975.0,-1753.0
9,-838.0,-838.0
10,-1625.0,-838.0
11,-188.0,-188.0
12,-3326.0,-188.0
13,1065.0,1065.0
14,214.0,1065.0
15,-3508.0,1065.0
16,-12162.0,1065.0
17,-3352.0,1065.0
18,-1757.0,1065.0
19,-1837.0,1065.0
20,-1207.0,1065.0
21,-1809.0,1065.0
22,-3541.0,1065.0
23,-2452.0,1065.0
24,-2325.0,1065.0
25,-1096.0,1065.0
26,-1705.0,1065.0
27,-1380.0,1065.0
28,-14147.0,1065.0
29,-2052.0,1065.0
30,-1226.0,1065.0
31,-2726.0,1065.0
32,-1882.0,1065.0
33,-2152.0,1065.0
34,-1539.0,1065.0
35,-3300.0,1065.0
36,-10851.0,1065.0
37,-1654.0,1065.0
38,-2692.0,1065.0
39,-3012.0,1065.0
40,-2360.0,1065.0
41,-6554.0,1065.0
42,-1784.0,1065.0
43,-1867.0,1065.0
44,-38.0,1065.0
45,-3050.0,1065.0
46,-1083.0,1065.0
47,-2166.0,1065.0
48,-2344.0,1065.0
49,-1282.0,1065.0
50,-587.0,1065.0
51,-2922.0,1065.0
52,-1101.0,1065.0
53,-3496.0,1065.0
54,-1891.0,1065.0
55,-2566.0,1065.0
56,-2171.0,1065.0
57,-1161.0,1065.0
58,-2990.0,1065.0
59,-1196.0,1065.0
60,-1364.0,1065.0
61,-936.0,1065.0
62,-1660.0,1065.0
63,-434.0,1065.0
64,-1726.0,1065.0
65,-1471.0,1065.0
66,-3086.0,1065.0
67,-3600.0,1065.0
68,-1352.0,1065.0
69,-746.0,1065.0
70,-1072.0,1065.0
71,-2158.0,1065.0
72,-1011.0,1065.0
73,-2740.0,1065.0
74,-1513.0,1065.0
75,-1292.0,1065.0
76,-2526.0,1065.0
77,-1349.0,1065.0
78,-1280.0,1065.0
79,-354.0,1065.0
80,-1227.0,1065.0
81,-2766.0,1065.0
82,-3055.0,1065.0
83,-1787.0,1065.0
84,-2436.0,1065.0
85,-1822.0,1065.0
86,-1588.0,1065.0
87,-1829.0,1065.0
88,-2184.0,1065.0
89,-1756.0,1065.0
90,-1493.0,1065.0
91,-2292.0,1065.0
92,-3201.0,1065.0
93,804.0,1065.0
94,-1775.0,1065.0
95,-3600.0,1065.0
96,-1777.0,1065.0
97,-1215.0,1065.0
98,-2031.0,1065.0
99,-1192.0,1065.0
100,-1721.0,1065.0
101,-2924.0,1065.0
102,-2924.0,1065.0
103,-529.0,1065.0
104,-3032.0,1065.0
105,-2624.0,1065.0
106,-3016.0,1065.0
107,-3064.0,1065.0
108,-886.0,1065.0
109,-2480.0,1065.0
110,-652.0,1065.0
111,-1252.0,1065.0
112,-724.0,1065.0
113,-1708.0,1065.0
114,-2846.0,1065.0
115,-3600.0,1065.0
116,-3524.0,1065.0
117,-2274.0,1065.0
118,-2550.0,1065.0
119,-3356.0,1065.0
120,144.0,1065.0
121,-2638.0,1065.0
122,-3528.0,1065.0
123,-2245.0,1065.0
124,-1383.0,1065.0
125,-2806.0,1065.0
126,-1418.0,1065.0
127,-2632.0,1065.0
128,-2586.0,1065.0
129,-103.0,1065.0
130,-947.0,1065.0
131,-1070.0,1065.0
132,-2442.0,1065.0
133,-1609.0,1065.0
134,-2128.0,1065.0
135,-1210.0,1065.0
136,-1597.0,1065.0
137,-1972.0,1065.0
138,-3600.0,1065.0
139,-2046.0,1065.0
140,-1597.0,1065.0
141,-1820.0,1065.0
142,-2968.0,1065.0
143,-1859.0,1065.0
144,-696.0,1065.0
145,-3600.0,1065.0
146,218.0,1065.0
147,-2088.0,1065.0
148,-1250.0,1065.0
149,-923.0,1065.0
150,-290.0,1065.0
151,-2124.0,1065.0
152,-1416.0,1065.0
153,-2844.0,1065.0
154,-1520.0,1065.0
155,-679.0,1065.0
156,-2577.0,1065.0
157,-2664.0,1065.0
158,-3210.0,1065.0
159,-3554.0,1065.0
160,-1411.0,1065.0
161,-2764.0,1065.0
162,-310.0,1065.0
163,-1001.0,1065.0
164,-2816.0,1065.0
165,-1105.0,1065.0
166,-3454.0,1065.0
167,-2181.0,1065.0
168,-4931.0,1065.0
169,-3246.0,1065.0
170,-2102.0,1065.0
171,-9407.0,1065.0
172,-1660.0,1065.0
173,-16330.0,1065.0
174,-2203.0,1065.0
175,-5992.0,1065.0
176,-944.0,1065.0
177,-2938.0,1065.0
178,-1972.0,1065.0
179,-1006.0,1065.0
180,-969.0,1065.0
181,-676.0,1065.0
182,1272.0,1272.0
183,-2504.0,1272.0
184,-2455.0,1272.0
185,-2742.0,1272.0
186,-1409.0,1272.0
187,-1565.0,1272.0
188,-1262.0,1272.0
189,-2253.0,1272.0
190,-2086.0,1272.0
191,-1715.0,1272.0
192,-2528.0,1272.0
193,-1423.0,1272.0
194,-1041.0,1272.0
195,-2484.0,1272.0
196,-1954.0,1272.0
197,-1371.0,1272.0
198,-10019.0,1272.0
199,-2750.0,1272.0
200,-2496.0,1272.0
201,-1434.0,1272.0
202,-892.0,1272.0
203,-11317.0,1272.0
204,-2001.0,1272.0
205,-1872.0,1272.0
206,-3114.0,1272.0
207,-3016.0,1272.0
208,-14363.0,1272.0
209,-1754.0,1272.0
210,-2820.0,1272.0
211,-1500.0,1272.0
212,-1375.0,1272.0
213,865.0,1272.0
214,-3038.0,1272.0
215,-11672.0,1272.0
216,-8681.0,1272.0
217,-6872.0,1272.0
218,-3044.0,1272.0
219,-6392.0,1272.0
220,-1233.0,1272.0
221,-1158.0,1272.0
222,-1677.0,1272.0
223,-8958.0,1272.0
224,-1663.0,1272.0
225,-9556.0,1272.0
226,-4562.0,1272.0
227,-3106.0,1272.0
228,-2986.0,1272.0
229,-2136.0,1272.0
230,-2244.0,1272.0
231,1106.0,1272.0
232,-7131.0,1272.0
233,-2818.0,1272.0
234,-781.0,1272.0
235,-3283.0,1272.0
236,-2978.0,1272.0
237,-1814.0,1272.0
238,-4141.0,1272.0
239,-6844.0,1272.0
240,-13795.0,1272.0
241,-6458.0,1272.0
242,-8632.0,1272.0
243,1004.0,1272.0
244,-9749.0,1272.0
245,-2822.0,1272.0
246,-1670.0,1272.0
247,-3004.0,1272.0
248,-21371.0,1272.0
249,-1546.0,1272.0
250,-9939.0,1272.0
251,-5948.0,1272.0
252,-2524.0,1272.0
253,-13127.0,1272.0
254,-14159.0,1272.0
255,-4127.0,1272.0
256,-9594.0,1272.0
257,-2443.0,1272.0
258,230.0,1272.0
259,-25320.0,1272.0
260,-1878.0,1272.0
261,688.0,1272.0
262,-4373.0,1272.0
263,-1439.0,1272.0
264,-9975.0,1272.0
265,-1953.0,1272.0
266,-8361.0,1272.0
267,-10500.0,1272.0
268,-11647.0,1272.0
269,-9354.0,1272.0
270,-1300.0,1272.0
271,-10104.0,1272.0
272,-3034.0,1272.0
273,-6803.0,1272.0
274,-1484.0,1272.0
275,-5254.0,1272.0
276,-1103.0,1272.0
277,-17815.0,1272.0
278,-2709.0,1272.0
279,-9577.0,1272.0
280,-4190.0,1272.0
281,-1193.0,1272.0
282,-1729.0,1272.0
283,-3756.0,1272.0
284,-28759.0,1272.0
285,-3871.0,1272.0
286,-4475.0,1272.0
287,-8740.0,1272.0
288,-3669.0,1272.0
289,-10803.0,1272.0
290,-2988.0,1272.0
291,-6664.0,1272.0
292,-1191.0,1272.0
293,-14261.0,1272.0
294,-10854.0,1272.0
295,-5256.0,1272.0
296,-11700.0,1272.0
297,-2711.0,1272.0
298,-16515.0,1272.0
299,-1807.0,1272.0
300,-4728.0,1272.0
301,-2490.0,1272.0
302,-12025.0,1272.0
303,-1457.0,1272.0
304,-1907.0,1272.0
305,-1883.0,1272.0
306,-24.0,1272.0
307,-6328.0,1272.0
308,-10128.0,1272.0
309,-4853.0,1272.0
310,-298.0,1272.0
311,-6715.0,1272.0
312,-2068.0,1272.0
313,-2967.0,1272.0
314,-6905.0,1272.0
315,-6055.0,1272.0
316,-4571.0,1272.0
317,-1033.0,1272.0
318,-2124.0,1272.0
319,-2399.0,1272.0
320,-2054.0,1272.0
321,-1261.0,1272.0
322,-12588.0,1272.0
323,2000.0,2000.0
324,-19307.0,2000.0
325,-13259.0,2000.0
326,-1254.0,2000.0
327,-2333.0,2000.0
328,-107.0,2000.0
329,-1027.0,2000.0
330,-2854.0,2000.0
331,-8718.0,2000.0
332,-1414.0,2000.0
333,995.0,2000.0
334,-1596.0,2000.0
