episode,reward,best_so_far
1,-1124.0,-1124.0
2,789.0,789.0
3,-1807.0,789.0
4,-2950.0,789.0
5,-6510.0,789.0
6,-13840.0,789.0
7,-3198.0,789.0
8,-2626.0,789.0
9,-476.0,789.0
10,-10696.0,789.0
11,-94.0,789.0
12,-8140.0,789.0
13,600.0,789.0
14,-2826.0,789.0
15,-851.0,789.0
16,-1710.0,789.0
17,-2882.0,789.0
18,-1461.0,789.0
19,-2894.0,789.0
20,-2364.0,789.0
21,-1955.0,789.0
22,-2949.0,789.0
23,-2938.0,789.0
24,-6805.0,789.0
25,-2314.0,789.0
26,-1565.0,789.0
27,-1391.0,789.0
28,-7779.0,789.0
29,-1629.0,789.0
30,-1436.0,789.0
31,-3076.0,789.0
32,-2296.0,789.0
33,-2161.0,789.0
34,-1703.0,789.0
35,-3248.0,789.0
36,-2398.0,789.0
37,-1670.0,789.0
38,-2476.0,789.0
39,-2992.0,789.0
40,-2540.0,789.0
41,-1204.0,789.0
42,-1378.0,789.0
43,-2488.0,789.0
44,273.0,789.0
45,-3282.0,789.0
46,-974.0,789.0
47,-2320.0,789.0
48,-2766.0,789.0
49,-1399.0,789.0
50,-698.0,789.0
51,-2420.0,789.0
52,-1299.0,789.0
53,-3174.0,789.0
54,-2041.0,789.0
55,-2590.0,789.0
56,-2357.0,789.0
57,-879.0,789.0
58,-3062.0,789.0
59,-1086.0,789.0
60,-1436.0,789.0
61,-893.0,789.0
62,-1750.0,789.0
63,-462.0,789.0
64,-1755.0,789.0
65,-1918.0,789.0
66,-3130.0,789.0
67,-3600.0,789.0
68,-1447.0,789.0
69,-520.0,789.0
70,-1289.0,789.0
71,-2136.0,789.0
72,-803.0,789.0
73,-2578.0,789.0
74,-1580.0,789.0
75,-1110.0,789.0
76,-2588.0,789.0
77,-966.0,789.0
78,-817.0,789.0
79,5.0,789.0
80,-1070.0,789.0
81,-2474.0,789.0
82,-2893.0,789.0
83,-1435.0,789.0
84,-2543.0,789.0
85,-1746.0,789.0
86,-1520.0,789.0
87,-1567.0,789.0
88,-1790.0,789.0
89,-2218.0,789.0
90,-1163.0,789.0
91,-2182.0,789.0
92,-3336.0,789.0
93,686.0,789.0
94,-1763.0,789.0
95,-3600.0,789.0
96,-1608.0,789.0
97,-1533.0,789.0
98,-1853.0,789.0
99,-967.0,789.0
100,-1604.0,789.0
101,-3158.0,789.0
102,-2702.0,789.0
103,-654.0,789.0
104,-3072.0,789.0
105,-2700.0,789.0
106,-3272.0,789.0
107,-3196.0,789.0
108,-362.0,789.0
109,-2260.0,789.0
110,-139.0,789.0
111,-1590.0,789.0
112,500.0,789.0
113,-1997.0,789.0
114,-2892.0,789.0
