episode,reward,best_so_far
1,-1124.0,-1124.0
2,789.0,789.0
3,-1807.0,789.0
4,-2950.0,789.0
5,-6510.0,789.0
6,-13840.0,789.0
7,-3350.0,789.0
8,-2626.0,789.0
9,-410.0,789.0
10,-10667.0,789.0
11,-2518.0,789.0
12,-4879.0,789.0
13,1435.0,1435.0
14,-1990.0,1435.0
15,-625.0,1435.0
16,-1786.0,1435.0
17,-2289.0,1435.0
18,-4428.0,1435.0
19,-3130.0,1435.0
20,-1503.0,1435.0
21,-2499.0,1435.0
22,-1763.0,1435.0
23,-2788.0,1435.0
24,-12183.0,1435.0
25,-2399.0,1435.0
26,-6302.0,1435.0
27,-1515.0,1435.0
28,-5953.0,1435.0
29,-6420.0,1435.0
30,-11282.0,1435.0
31,-2369.0,1435.0
32,-3774.0,1435.0
33,-9239.0,1435.0
34,-2973.0,1435.0
35,-30266.0,1435.0
36,-13011.0,1435.0
37,-1678.0,1435.0
38,-11427.0,1435.0
39,-2629.0,1435.0
40,-1637.0,1435.0
41,-7054.0,1435.0
42,-1646.0,1435.0
43,-8775.0,1435.0
44,-17558.0,1435.0
45,-5108.0,1435.0
46,-809.0,1435.0
47,-2559.0,1435.0
48,-1629.0,1435.0
49,-18899.0,1435.0
50,-394.0,1435.0
51,-1415.0,1435.0
52,-4779.0,1435.0
53,-2614.0,1435.0
54,-1861.0,1435.0
55,-2682.0,1435.0
56,-2539.0,1435.0
57,-1540.0,1435.0
58,-1985.0,1435.0
59,-1381.0,1435.0
60,-1099.0,1435.0
61,-1194.0,1435.0
62,-12586.0,1435.0
63,-1529.0,1435.0
64,-2187.0,1435.0
65,-7638.0,1435.0
66,-13102.0,1435.0
67,-14879.0,1435.0
68,-5012.0,1435.0
69,-7838.0,1435.0
70,-9710.0,1435.0
71,-8474.0,1435.0
72,-8298.0,1435.0
73,-2446.0,1435.0
74,-4765.0,1435.0
75,-3805.0,1435.0
76,-9299.0,1435.0
77,-15154.0,1435.0
78,-1694.0,1435.0
79,-3264.0,1435.0
80,-2437.0,1435.0
81,-2466.0,1435.0
82,-12294.0,1435.0
83,-1522.0,1435.0
84,-2288.0,1435.0
85,-1708.0,1435.0
86,-1538.0,1435.0
87,-1634.0,1435.0
88,-1400.0,1435.0
89,-2254.0,1435.0
90,-1467.0,1435.0
91,-2471.0,1435.0
92,-5534.0,1435.0
93,-253.0,1435.0
94,-1522.0,1435.0
95,-6049.0,1435.0
96,-2104.0,1435.0
97,-1483.0,1435.0
98,-1866.0,1435.0
99,-18151.0,1435.0
100,-3553.0,1435.0
101,-2733.0,1435.0
102,-2486.0,1435.0
103,-308.0,1435.0
104,-3406.0,1435.0
105,-1102.0,1435.0
